---------- Log from 04.06.2020 18:40:12 ---------------------------------------------------------------------------------------
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Colorless\BigFlyingGolem\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\Frostgoyle\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Defender_popular\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Oracle_underworld\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsSmallRangedGolem\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsBigCasterGolem\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Oracle_default\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Archer_default\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidSlime\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsBigGolemTower\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Spore\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Woodwalker_default\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Rootling_default\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Ballista\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\ForestGuardian_default\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\PhaseDrone_default\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Rootling_machine\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidBowman_rainbow\" not found!
[04.06.2020 18:40:13] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidWorm_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\DamperDrone_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsMediumMeleeGolem_inflamed\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Footman_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsBigMeleeGolem\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Monk_underworld\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\Inductioner\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\SaplingFarm_snow\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Avenger\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidBane_rainbow\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Thistle_underworld\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\HeartOfTheForest\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsBigFlyingGolem\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Colorless\SmallFlyingGolem\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\ShieldDrone\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Sapling_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsBossGolem_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Priest_wip\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidCauldron\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\ObserverDrone\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\PhaseDrone_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidBane_rainbow\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\Bombardier\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Brratu\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Wisp\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Footman_machine\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Brratu_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Colorless\BigMeleeGolem\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsSmallFlyingGolem\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsBossGolem_tournament\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Footman_machine\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\MissileTurret\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Thistle_underworld\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsSmallCasterGolem\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Priest_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\Atlas\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsSmallRangedGolem\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidWraith\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\HeartOfTheForest\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\MonumentOfLight\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidWorm_woodlands\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Ballista\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Footman_woodlands\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\PatronSaint\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Thistle_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidBane_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidWorm_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\GatlingTurret_steam\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Golems\GolemsBigCasterGolem\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Colorless\SiegeGolem\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Colorless\MeleeGolemTower\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Colorless\SmallCasterGolem\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\Airdominator\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Marksman_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidBowman_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\RootDude\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Colorless\SmallMeleeGolem\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\GatlingDrone_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Thistle_scill\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\ShieldDrone\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\PhaseDrone_pur\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Rootling_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\HeavyGunner\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Oracle_crusader\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\Atlas_popular\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\GatlingTurret_default\" not found!
